Expected_Confidence,MCD_Observed_Confidence_Train,MCD_Observed_Confidence_Test,MCD_Observed_Confidence_OOD_EXP,MCD_Observed_Confidence_OOD_MD
0.88,0.4928506787330317,0.13748191027496381,0.07916666666666666,0.03356890459363958
0.89,0.5031674208144796,0.1389290882778582,0.0875,0.03356890459363958
0.9,0.5131221719457013,0.14037626628075253,0.09166666666666666,0.03356890459363958
0.91,0.5236199095022624,0.1476121562952243,0.1,0.03356890459363958
0.92,0.5359276018099548,0.15050651230101303,0.10416666666666667,0.0353356890459364
0.93,0.5491402714932127,0.1577424023154848,0.10416666666666667,0.04063604240282685
0.9400000000000001,0.5656108597285068,0.16208393632416787,0.10416666666666667,0.044169611307420496
0.9500000000000001,0.5882352941176471,0.16931982633863965,0.11666666666666667,0.044169611307420496
0.96,0.6079638009049774,0.17800289435600578,0.125,0.045936395759717315
0.97,0.6313122171945701,0.1837916063675832,0.125,0.04770318021201413
0.98,0.6599095022624435,0.1939218523878437,0.12916666666666668,0.04946996466431095
0.99,0.7046153846153846,0.20694645441389292,0.12916666666666668,0.053003533568904596
1.0,0.9996380090497737,1.0,1.0,0.9982332155477032
