Sparsification fractions,Ensemble_rmse_values_Train,Ensemble_rmse_values_Test,Ensemble_rmse_values_OOD_EXP,Ensemble_rmse_values_OOD_MD
0.053,2.815934,28.15628509382721,35.7733051877131,73.12770301776246
0.054,2.816499,28.138452014216877,35.7733051877131,73.1958773561733
0.055,2.8156393,28.158754856360794,35.803433267936356,73.18001871095986
0.056,2.8159742,28.158754856360794,35.803433267936356,73.18001871095986
0.057,2.8164892,28.088199512596628,35.803433267936356,73.16498247574587
0.058,2.8167498,28.039079692015306,35.803433267936356,73.16498247574587
0.059000000000000004,2.8103933,28.039079692015306,35.833802300240194,73.02128471358988
0.06,2.7930954,28.05721292897506,35.833802300240194,73.02128471358988
0.061,2.7925394,28.06673560263366,35.833802300240194,73.08984819227365
0.062,2.7923102,28.06673560263366,35.833802300240194,73.11047554344677
0.063,2.7930043,28.081164394862146,35.913319073456734,73.11047554344677
0.064,2.7935302,28.09218790345147,35.913319073456734,73.17842265478177
0.065,2.7921712,28.09218790345147,35.913319073456734,73.17842265478177
0.066,2.793138,28.03833770097084,35.913319073456734,73.2405084177253
0.067,2.793622,28.05207159691502,35.90335480824465,73.2405084177253
0.068,2.794755,28.05207159691502,35.90335480824465,73.30977767320502
0.069,2.7962453,28.060416506682007,35.90335480824465,73.17775169015988
0.07,2.7958317,28.06455628758816,35.90335480824465,73.17775169015988
0.07100000000000001,2.7963579,28.05776541364396,35.89329837394193,73.18728019558152
0.07200000000000001,2.7972627,28.05776541364396,35.89329837394193,73.18728019558152
0.073,2.785601,28.07956789450517,35.89329837394193,73.24031766487083
0.074,2.7739007,27.81288018480673,35.89329837394193,73.24031766487083
0.075,2.7749636,27.81288018480673,35.89361884640658,73.30691422665748
0.076,2.7751925,27.771481589183484,35.89361884640658,73.37692704803669
0.077,2.755297,27.792597714020566,35.89361884640658,73.37692704803669
0.078,2.7510219,27.792597714020566,35.89361884640658,72.87106793094823
0.079,2.7492266,27.814375009476024,35.89361884640658,72.87106793094823
0.08,2.7490768,27.752428103505913,35.950711560726894,72.88687726213148
0.081,2.7489133,27.752428103505913,35.950711560726894,72.88687726213148
0.082,2.7502806,27.75036569826652,35.950711560726894,72.88896456956532
0.083,2.749908,27.624248136273827,35.950711560726894,72.88896456956532
0.084,2.750879,27.589510306779825,36.00021600604421,72.95500014875513
0.085,2.7509313,27.589510306779825,36.00021600604421,73.00411276246565
0.08600000000000001,2.7513816,27.591546762733444,36.00021600604421,73.00411276246565
0.08700000000000001,2.7515593,27.596170000781456,36.00021600604421,72.9987378181093
0.088,2.751314,27.596170000781456,36.08200903953436,72.9987378181093
0.089,2.7507443,27.603668793410066,36.08200903953436,72.97642287793693
0.09,2.7506187,27.569443776762917,36.08200903953436,72.97642287793693
0.091,2.7484188,27.569443776762917,36.08200903953436,73.02219247231939
0.092,2.7496192,27.589574568929578,35.87257712105159,72.88499163291335
