Sparsification_fractions,BNN_rmse_values_Train,BNN_rmse_values_Test,BNN_rmse_values_OOD_EXP,BNN_rmse_values_OOD_MD
0.041,7.301015290092523,30.766073539055213,38.35667648736495,72.28143878039589
0.042,7.269098726049267,30.784144837961307,38.282952117350916,72.28143878039589
0.043000000000000003,7.221000152744859,30.784144837961307,38.282952117350916,72.05155157559057
0.044,7.1964958046074425,30.807396890505192,38.282952117350916,72.05155157559057
0.045,7.180162504444569,30.83070536198173,38.282952117350916,72.11653799646044
0.046,7.147750201168398,30.83070536198173,38.27088697008359,72.18243453877656
0.047,7.12903317308573,30.733233551732532,38.27088697008359,72.18243453877656
0.048,7.12771809228795,30.75556405190269,38.27088697008359,71.82874213451964
0.049,7.112061159877221,30.75556405190269,38.27088697008359,71.82874213451964
0.05,7.078150329127432,30.778959960179503,38.29822399425014,71.87075732356571
0.051000000000000004,7.026728864706537,30.760345547097884,38.29822399425014,71.87075732356571
0.052000000000000005,6.9492064830773606,30.760345547097884,38.29822399425014,71.819136229014
0.053,6.897584451003635,30.758971947537123,38.29822399425014,71.819136229014
0.054,6.876304171712826,30.78236387650901,38.29822399425014,71.50506469225755
0.055,6.862632236674997,30.77794135166813,38.38039137675705,70.67334229504974
0.056,6.7793042401670895,30.77794135166813,38.38039137675705,70.67334229504974
0.057,6.7619626877200885,30.8015219220125,38.38039137675705,70.4172354150557
0.058,6.730807582303782,30.822182831828254,38.38039137675705,70.4172354150557
0.059000000000000004,6.719519571028831,30.822182831828254,37.81661217320658,70.34663663959746
0.06,6.711571185206729,30.60104073237694,37.81661217320658,70.34663663959746
0.061,6.701559201368899,30.62030536634855,37.81661217320658,70.38844322154178
0.062,6.690424343602098,30.62030536634855,37.81661217320658,70.42834780097162
0.063,6.636206992714726,30.58870942909067,37.86025139482895,70.42834780097162
0.064,6.634290291684574,30.60931278710994,37.86025139482895,70.37610510855914
0.065,6.57643857489236,30.60931278710994,37.86025139482895,70.37610510855914
0.066,6.56568946517982,30.63284279297553,37.86025139482895,70.43963596033842
0.067,6.549641887456835,30.651270761099067,37.93309908308378,70.43963596033842
0.068,6.519011499925464,30.651270761099067,37.93309908308378,70.25294892912892
0.069,6.504956416120914,30.654696097772852,37.93309908308378,70.172678305479
0.07,6.484030577877714,30.66405651562781,37.93309908308378,70.172678305479
0.07100000000000001,6.469792614838859,30.687918150186157,37.89924739772396,70.23284584422112
0.07200000000000001,6.464811425294224,30.687918150186157,37.89924739772396,70.23284584422112
0.073,6.455154921704578,30.558344820473764,37.89924739772396,70.29968504388457
0.074,6.453751846021768,30.567086242382775,37.89924739772396,70.29968504388457
