Expected_Confidence,GPR_Observed_Confidence_Train,GPR_Observed_Confidence_Test,GPR_Observed_Confidence_OOD_EXP,GPR_Observed_Confidence_OOD_MD
0.52,0.5875113122171945,0.4645441389290883,0.4041666666666667,0.1872791519434629
0.53,0.5960180995475113,0.4703328509406657,0.42916666666666664,0.19257950530035337
0.54,0.6036199095022624,0.47467438494934877,0.44166666666666665,0.19434628975265017
0.55,0.6126696832579186,0.47901591895803186,0.45416666666666666,0.196113074204947
0.56,0.6228054298642534,0.48914616497829233,0.4583333333333333,0.1978798586572438
0.5700000000000001,0.6314932126696833,0.4934876989869754,0.475,0.20318021201413428
0.58,0.6383710407239819,0.5007235890014472,0.4791666666666667,0.20848056537102475
0.59,0.6450678733031674,0.5123010130246021,0.49166666666666664,0.21731448763250882
0.6,0.6526696832579185,0.516642547033285,0.5041666666666667,0.21908127208480566
0.61,0.6590045248868778,0.5282199710564399,0.5041666666666667,0.22968197879858657
0.62,0.6653393665158371,0.5340086830680174,0.5208333333333334,0.22968197879858657
0.63,0.6723981900452489,0.5397973950795948,0.5375,0.2314487632508834
0.64,0.6812669683257918,0.5455861070911722,0.5375,0.24558303886925795
0.65,0.6892307692307692,0.5542691751085383,0.55,0.2597173144876325
0.66,0.6964705882352941,0.5615050651230101,0.5583333333333333,0.26325088339222613
0.67,0.703710407239819,0.5672937771345875,0.5625,0.2703180212014134
0.68,0.7085972850678733,0.5745296671490593,0.5666666666666667,0.2756183745583039
0.6900000000000001,0.7167420814479638,0.5846599131693199,0.5708333333333333,0.28091872791519434
0.7000000000000001,0.7203619909502262,0.5890014471780028,0.5833333333333334,0.2862190812720848
0.71,0.7277828054298643,0.6034732272069464,0.6041666666666666,0.2862190812720848
0.72,0.7344796380090498,0.6092619392185239,0.6166666666666667,0.2862190812720848
0.73,0.7413574660633484,0.6150506512301013,0.6208333333333333,0.29328621908127206
0.74,0.7484162895927602,0.6237337192474675,0.6375,0.29858657243816256
0.75,0.7545701357466064,0.6280752532561505,0.6458333333333334,0.303886925795053
0.76,0.761447963800905,0.6396526772793053,0.6541666666666667,0.30918727915194344
0.77,0.7694117647058824,0.6454413892908828,0.6541666666666667,0.31095406360424027
0.78,0.774841628959276,0.6570188133140377,0.6541666666666667,0.3197879858657244
0.79,0.7815384615384615,0.6743849493487699,0.6666666666666666,0.32332155477031804
