Expected_Confidence,BNN_Observed_Confidence_Train,BNN_Observed_Confidence_Test,BNN_Observed_Confidence_OOD_EXP,BNN_Observed_Confidence_OOD_MD
0.5700000000000001,0.7122171945701358,0.7122171945701358,0.12916666666666668,0.08657243816254417
0.58,0.7218099547511312,0.7218099547511312,0.15,0.08833922261484099
0.59,0.7304977375565611,0.7304977375565611,0.15,0.09010600706713781
0.6,0.7380995475113122,0.7380995475113122,0.15416666666666667,0.09187279151943463
0.61,0.7473303167420815,0.7473303167420815,0.15833333333333333,0.09187279151943463
0.62,0.7549321266968326,0.7549321266968326,0.15833333333333333,0.09363957597173145
0.63,0.764524886877828,0.764524886877828,0.175,0.09540636042402827
0.64,0.7714027149321266,0.7714027149321266,0.175,0.09540636042402827
0.65,0.7780995475113122,0.7780995475113122,0.18333333333333332,0.0989399293286219
0.66,0.7873303167420814,0.7873303167420814,0.1875,0.10070671378091872
0.67,0.7951131221719457,0.7951131221719457,0.1875,0.10070671378091872
0.68,0.8043438914027149,0.8043438914027149,0.19583333333333333,0.10070671378091872
0.6900000000000001,0.8117647058823529,0.8117647058823529,0.20833333333333334,0.10424028268551237
0.7000000000000001,0.8202714932126697,0.8202714932126697,0.20833333333333334,0.10600706713780919
0.71,0.8278733031674208,0.8278733031674208,0.2125,0.10954063604240283
0.72,0.8351131221719457,0.8351131221719457,0.2125,0.10954063604240283
0.73,0.8421719457013574,0.8421719457013574,0.21666666666666667,0.10954063604240283
0.74,0.8499547511312218,0.8499547511312218,0.22916666666666666,0.11130742049469965
0.75,0.8561085972850678,0.8561085972850678,0.2375,0.1166077738515901
0.76,0.8635294117647059,0.8635294117647059,0.25,0.11837455830388692
0.77,0.8704072398190045,0.8704072398190045,0.25416666666666665,0.12367491166077739
0.78,0.87710407239819,0.87710407239819,0.2625,0.1254416961130742
0.79,0.8830769230769231,0.8830769230769231,0.275,0.12897526501766785
0.8,0.888868778280543,0.888868778280543,0.2833333333333333,0.13250883392226148
0.81,0.8941176470588236,0.8941176470588236,0.2916666666666667,0.13427561837455831
0.8200000000000001,0.9009954751131222,0.9009954751131222,0.30416666666666664,0.13427561837455831
0.8300000000000001,0.9055203619909502,0.9055203619909502,0.30833333333333335,0.13780918727915195
0.84,0.9100452488687782,0.9100452488687782,0.31666666666666665,0.13957597173144876
0.85,0.9152941176470588,0.9152941176470588,0.32083333333333336,0.1431095406360424
0.86,0.9221719457013575,0.9221719457013575,0.32083333333333336,0.14664310954063603
0.87,0.927420814479638,0.927420814479638,0.325,0.15371024734982333
0.88,0.9314027149321267,0.9314027149321267,0.325,0.15901060070671377
0.89,0.9375565610859729,0.9375565610859729,0.3333333333333333,0.1607773851590106
0.9,0.9431674208144797,0.9431674208144797,0.3416666666666667,0.16431095406360424
0.91,0.9482352941176471,0.9482352941176471,0.3541666666666667,0.1696113074204947
0.92,0.9513122171945702,0.9513122171945702,0.3541666666666667,0.17314487632508835
0.93,0.9572850678733031,0.9572850678733031,0.3625,0.18197879858657243
0.9400000000000001,0.9618099547511312,0.9618099547511312,0.36666666666666664,0.1872791519434629
0.9500000000000001,0.967420814479638,0.967420814479638,0.37083333333333335,0.19434628975265017
0.96,0.9714027149321267,0.9714027149321267,0.38333333333333336,0.196113074204947
0.97,0.9757466063348417,0.9757466063348417,0.43333333333333335,0.21201413427561838
0.98,0.9829864253393665,0.9829864253393665,0.4583333333333333,0.23498233215547704
0.99,0.9882352941176471,0.9882352941176471,0.475,0.2579505300353357
1.0,1.0,1.0,1.0,1.0
