Expected_Confidence,MVE_Observed_Confidence_Train,MVE_Observed_Confidence_Test,MVE_Observed_Confidence_OOD_EXP,MVE_Observed_Confidence_OOD_MD
0.24,0.1493212669683258,0.1493212669683258,0.025,0.00530035335689046
0.25,0.15402714932126696,0.15402714932126696,0.025,0.007067137809187279
0.26,0.15963800904977377,0.15963800904977377,0.025,0.007067137809187279
0.27,0.16687782805429865,0.16687782805429865,0.025,0.007067137809187279
0.28,0.1712217194570136,0.1712217194570136,0.025,0.0088339222614841
0.29,0.17647058823529413,0.17647058823529413,0.025,0.01060070671378092
0.3,0.18371040723981902,0.18371040723981902,0.025,0.012367491166077738
0.31,0.19095022624434388,0.19095022624434388,0.029166666666666667,0.012367491166077738
0.32,0.19638009049773755,0.19638009049773755,0.03333333333333333,0.012367491166077738
0.33,0.2023529411764706,0.2023529411764706,0.03333333333333333,0.012367491166077738
0.34,0.2081447963800905,0.2081447963800905,0.03333333333333333,0.012367491166077738
0.35000000000000003,0.2146606334841629,0.2146606334841629,0.03333333333333333,0.012367491166077738
0.36,0.22081447963800904,0.22081447963800904,0.041666666666666664,0.012367491166077738
0.37,0.22642533936651585,0.22642533936651585,0.041666666666666664,0.012367491166077738
0.38,0.23565610859728506,0.23565610859728506,0.041666666666666664,0.012367491166077738
0.39,0.24018099547511312,0.24018099547511312,0.041666666666666664,0.014134275618374558
0.4,0.247420814479638,0.247420814479638,0.041666666666666664,0.015901060070671377
0.41000000000000003,0.2541176470588235,0.2541176470588235,0.041666666666666664,0.015901060070671377
0.42,0.26244343891402716,0.26244343891402716,0.04583333333333333,0.015901060070671377
0.43,0.26895927601809955,0.26895927601809955,0.05,0.015901060070671377
0.44,0.27547511312217193,0.27547511312217193,0.05,0.015901060070671377
0.45,0.28180995475113124,0.28180995475113124,0.05,0.015901060070671377
0.46,0.2865158371040724,0.2865158371040724,0.05,0.015901060070671377
0.47000000000000003,0.29321266968325793,0.29321266968325793,0.05,0.015901060070671377
0.48,0.30153846153846153,0.30153846153846153,0.05,0.015901060070671377
0.49,0.3067873303167421,0.3067873303167421,0.05416666666666667,0.015901060070671377
0.5,0.3120361990950226,0.3120361990950226,0.05416666666666667,0.015901060070671377
0.51,0.31891402714932127,0.31891402714932127,0.05416666666666667,0.015901060070671377
0.52,0.3252488687782805,0.3252488687782805,0.05416666666666667,0.0176678445229682
0.53,0.33085972850678735,0.33085972850678735,0.05416666666666667,0.0176678445229682
0.54,0.3388235294117647,0.3388235294117647,0.05416666666666667,0.0176678445229682
0.55,0.3458823529411765,0.3458823529411765,0.0625,0.019434628975265017
0.56,0.3542081447963801,0.3542081447963801,0.07083333333333333,0.019434628975265017
0.5700000000000001,0.3645248868778281,0.3645248868778281,0.07083333333333333,0.022968197879858657
0.58,0.37104072398190047,0.37104072398190047,0.07083333333333333,0.024734982332155476
0.59,0.3771945701357466,0.3771945701357466,0.07083333333333333,0.024734982332155476
0.6,0.3862443438914027,0.3862443438914027,0.07083333333333333,0.028268551236749116
0.61,0.3936651583710407,0.3936651583710407,0.07083333333333333,0.030035335689045935
0.62,0.3992760180995475,0.3992760180995475,0.07083333333333333,0.03356890459363958
0.63,0.405972850678733,0.405972850678733,0.07083333333333333,0.03356890459363958
0.64,0.41339366515837106,0.41339366515837106,0.07083333333333333,0.03356890459363958
